"Description";"Native";"Bytes";"R-encoding"
"AERIAL TRAMWAY";"🚡";"\xF0\x9F\x9A\xA1";"<ed><a0><bd><ed><ba><a1>"
"AIRPLANE";"✈";"\xE2\x9C\x88";"<e2><9c><88>"
"ALARM CLOCK";"⏰";"\xE2\x8F\xB0";"<e2><8f><b0>"
"ALIEN MONSTER";"👾";"\xF0\x9F\x91\xBE";"<ed><a0><bd><ed><b1><be>"
"AMBULANCE";"🚑";"\xF0\x9F\x9A\x91";"<ed><a0><bd><ed><ba><91>"
"AMERICAN FOOTBALL";"🏈";"\xF0\x9F\x8F\x88";"<ed><a0><bc><ed><bf><88>"
"ANCHOR";"⚓";"\xE2\x9A\x93";"<e2><9a><93>"
"ANGER SYMBOL";"💢";"\xF0\x9F\x92\xA2";"<ed><a0><bd><ed><b2><a2>"
"ANGRY FACE";"😠";"\xF0\x9F\x98\xA0";"<ed><a0><bd><ed><b8><a0>"
"ANGUISHED FACE";"😧";"\xF0\x9F\x98\xA7";"<ed><a0><bd><ed><b8><a7>"
"ANT";"🐜";"\xF0\x9F\x90\x9C";"<ed><a0><bd><ed><b0><9c>"
"ANTENNA WITH BARS";"📶";"\xF0\x9F\x93\xB6";"<ed><a0><bd><ed><b3><b6>"
"ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS";"🔄";"\xF0\x9F\x94\x84";"<ed><a0><bd><ed><b4><84>"
"AQUARIUS";"♒";"\xE2\x99\x92";"<e2><99><92>"
"ARIES";"♈";"\xE2\x99\x88";"<e2><99><88>"
"ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS";"⤵";"\xE2\xA4\xB5";"<e2><a4><b5>"
"ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS";"⤴";"\xE2\xA4\xB4";"<e2><a4><b4>"
"ARTICULATED LORRY";"🚛";"\xF0\x9F\x9A\x9B";"<ed><a0><bd><ed><ba><9b>"
"ARTIST PALETTE";"🎨";"\xF0\x9F\x8E\xA8";"<ed><a0><bc><ed><be><a8>"
"ASTONISHED FACE";"😲";"\xF0\x9F\x98\xB2";"<ed><a0><bd><ed><b8><b2>"
"ATHLETIC SHOE";"👟";"\xF0\x9F\x91\x9F";"<ed><a0><bd><ed><b1><9f>"
"AUBERGINE";"🍆";"\xF0\x9F\x8D\x86";"<ed><a0><bc><ed><bd><86>"
"AUTOMATED TELLER MACHINE";"🏧";"\xF0\x9F\x8F\xA7";"<ed><a0><bc><ed><bf><a7>"
"AUTOMOBILE";"🚗";"\xF0\x9F\x9A\x97";"<ed><a0><bd><ed><ba><97>"
"BABY";"👶";"\xF0\x9F\x91\xB6";"<ed><a0><bd><ed><b1><b6>"
"BABY ANGEL";"👼";"\xF0\x9F\x91\xBC";"<ed><a0><bd><ed><b1><bc>"
"BABY BOTTLE";"🍼";"\xF0\x9F\x8D\xBC";"<ed><a0><bc><ed><bd><bc>"
"BABY CHICK";"🐤";"\xF0\x9F\x90\xA4";"<ed><a0><bd><ed><b0><a4>"
"BABY SYMBOL";"🚼";"\xF0\x9F\x9A\xBC";"<ed><a0><bd><ed><ba><bc>"
"BACK WITH LEFTWARDS ARROW ABOVE";"🔙";"\xF0\x9F\x94\x99";"<ed><a0><bd><ed><b4><99>"
"BACTRIAN CAMEL";"🐫";"\xF0\x9F\x90\xAB";"<ed><a0><bd><ed><b0><ab>"
"BAGGAGE CLAIM";"🛄";"\xF0\x9F\x9B\x84";"<ed><a0><bd><ed><bb><84>"
"BALLOON";"🎈";"\xF0\x9F\x8E\x88";"<ed><a0><bc><ed><be><88>"
"BALLOT BOX WITH CHECK";"☑";"\xE2\x98\x91";"<e2><98><91>"
"BANANA";"🍌";"\xF0\x9F\x8D\x8C";"<ed><a0><bc><ed><bd><8c>"
"BANK";"🏦";"\xF0\x9F\x8F\xA6";"<ed><a0><bc><ed><bf><a6>"
"BANKNOTE WITH DOLLAR SIGN";"💵";"\xF0\x9F\x92\xB5";"<ed><a0><bd><ed><b2><b5>"
"BANKNOTE WITH EURO SIGN";"💶";"\xF0\x9F\x92\xB6";"<ed><a0><bd><ed><b2><b6>"
"BANKNOTE WITH POUND SIGN";"💷";"\xF0\x9F\x92\xB7";"<ed><a0><bd><ed><b2><b7>"
"BANKNOTE WITH YEN SIGN";"💴";"\xF0\x9F\x92\xB4";"<ed><a0><bd><ed><b2><b4>"
"BAR CHART";"📊";"\xF0\x9F\x93\x8A";"<ed><a0><bd><ed><b3><8a>"
"BARBER POLE";"💈";"\xF0\x9F\x92\x88";"<ed><a0><bd><ed><b2><88>"
"BASEBALL";"⚾";"\xE2\x9A\xBE";"<e2><9a><be>"
"BASKETBALL AND HOOP";"🏀";"\xF0\x9F\x8F\x80";"<ed><a0><bc><ed><bf><80>"
"BATH";"🛀";"\xF0\x9F\x9B\x80";"<ed><a0><bd><ed><bb><80>"
"BATHTUB";"🛁";"\xF0\x9F\x9B\x81";"<ed><a0><bd><ed><bb><81>"
"BATTERY";"🔋";"\xF0\x9F\x94\x8B";"<ed><a0><bd><ed><b4><8b>"
"BEAR FACE";"🐻";"\xF0\x9F\x90\xBB";"<ed><a0><bd><ed><b0><bb>"
"BEATING HEART";"💓";"\xF0\x9F\x92\x93";"<ed><a0><bd><ed><b2><93>"
"BEER MUG";"🍺";"\xF0\x9F\x8D\xBA";"<ed><a0><bc><ed><bd><ba>"
"BELL";"🔔";"\xF0\x9F\x94\x94";"<ed><a0><bd><ed><b4><94>"
"BELL WITH CANCELLATION STROKE";"🔕";"\xF0\x9F\x94\x95";"<ed><a0><bd><ed><b4><95>"
"BENTO BOX";"🍱";"\xF0\x9F\x8D\xB1";"<ed><a0><bc><ed><bd><b1>"
"BICYCLE";"🚲";"\xF0\x9F\x9A\xB2";"<ed><a0><bd><ed><ba><b2>"
"BICYCLIST";"🚴";"\xF0\x9F\x9A\xB4";"<ed><a0><bd><ed><ba><b4>"
"BIKINI";"👙";"\xF0\x9F\x91\x99";"<ed><a0><bd><ed><b1><99>"
"BILLIARDS";"🎱";"\xF0\x9F\x8E\xB1";"<ed><a0><bc><ed><be><b1>"
"BIRD";"🐦";"\xF0\x9F\x90\xA6";"<ed><a0><bd><ed><b0><a6>"
"BIRTHDAY CAKE";"🎂";"\xF0\x9F\x8E\x82";"<ed><a0><bc><ed><be><82>"
"BLACK CLUB SUIT";"♣";"\xE2\x99\xA3";"<e2><99><a3>"
"BLACK DIAMOND SUIT";"♦";"\xE2\x99\xA6";"<e2><99><a6>"
"BLACK DOWN-POINTING DOUBLE TRIANGLE";"⏬";"\xE2\x8F\xAC";"<e2><8f><ac>"
"BLACK HEART SUIT";"♥";"\xE2\x99\xA5";"<e2><99><a5>"
"BLACK LARGE SQUARE";"⬛";"\xE2\xAC\x9B";"<e2><ac><9b>"
"BLACK LEFT-POINTING DOUBLE TRIANGLE";"⏪";"\xE2\x8F\xAA";"<e2><8f><aa>"
"BLACK LEFT-POINTING TRIANGLE";"◀";"\xE2\x97\x80";"<e2><97><80>"
"BLACK MEDIUM SMALL SQUARE";"◾";"\xE2\x97\xBE";"<e2><97><be>"
"BLACK MEDIUM SQUARE";"◼";"\xE2\x97\xBC";"<e2><97><bc>"
"BLACK NIB";"✒";"\xE2\x9C\x92";"<e2><9c><92>"
"BLACK QUESTION MARK ORNAMENT";"❓";"\xE2\x9D\x93";"<e2><9d><93>"
"BLACK RIGHT-POINTING DOUBLE TRIANGLE";"⏩";"\xE2\x8F\xA9";"<e2><8f><a9>"
"BLACK RIGHT-POINTING TRIANGLE";"▶";"\xE2\x96\xB6";"<e2><96><b6>"
"BLACK RIGHTWARDS ARROW";"➡";"\xE2\x9E\xA1";"<e2><9e><a1>"
"BLACK SCISSORS";"✂";"\xE2\x9C\x82";"<e2><9c><82>"
"BLACK SMALL SQUARE";"▪";"\xE2\x96\xAA";"<e2><96><aa>"
"BLACK SPADE SUIT";"♠";"\xE2\x99\xA0";"<e2><99><a0>"
"BLACK SQUARE BUTTON";"🔲";"\xF0\x9F\x94\xB2";"<ed><a0><bd><ed><b4><b2>"
"BLACK SUN WITH RAYS";"☀";"\xE2\x98\x80";"<e2><98><80>"
"BLACK TELEPHONE";"☎";"\xE2\x98\x8E";"<e2><98><8e>"
"BLACK UNIVERSAL RECYCLING SYMBOL";"♻";"\xE2\x99\xBB";"<e2><99><bb>"
"BLACK UP-POINTING DOUBLE TRIANGLE";"⏫";"\xE2\x8F\xAB";"<e2><8f><ab>"
"BLOSSOM";"🌼";"\xF0\x9F\x8C\xBC";"<ed><a0><bc><ed><bc><bc>"
"BLOWFISH";"🐡";"\xF0\x9F\x90\xA1";"<ed><a0><bd><ed><b0><a1>"
"BLUE BOOK";"📘";"\xF0\x9F\x93\x98";"<ed><a0><bd><ed><b3><98>"
"BLUE HEART";"💙";"\xF0\x9F\x92\x99";"<ed><a0><bd><ed><b2><99>"
"BOAR";"🐗";"\xF0\x9F\x90\x97";"<ed><a0><bd><ed><b0><97>"
"BOMB";"💣";"\xF0\x9F\x92\xA3";"<ed><a0><bd><ed><b2><a3>"
"BOOKMARK";"🔖";"\xF0\x9F\x94\x96";"<ed><a0><bd><ed><b4><96>"
"BOOKMARK TABS";"📑";"\xF0\x9F\x93\x91";"<ed><a0><bd><ed><b3><91>"
"BOOKS";"📚";"\xF0\x9F\x93\x9A";"<ed><a0><bd><ed><b3><9a>"
"BOUQUET";"💐";"\xF0\x9F\x92\x90";"<ed><a0><bd><ed><b2><90>"
