"Native" "Bytes" "Description"
"1" "😁" "\xF0\x9F\x98\x81" "GRINNING FACE WITH SMILING EYES"
"2" "😂" "\xF0\x9F\x98\x82" "FACE WITH TEARS OF JOY"
"3" "😃" "\xF0\x9F\x98\x83" "SMILING FACE WITH OPEN MOUTH"
"4" "😄" "\xF0\x9F\x98\x84" "SMILING FACE WITH OPEN MOUTH AND SMILING EYES"
"5" "😅" "\xF0\x9F\x98\x85" "SMILING FACE WITH OPEN MOUTH AND COLD SWEAT"
"6" "😆" "\xF0\x9F\x98\x86" "SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES"
"7" "😉" "\xF0\x9F\x98\x89" "WINKING FACE"
"8" "😊" "\xF0\x9F\x98\x8A" "SMILING FACE WITH SMILING EYES"
"9" "😋" "\xF0\x9F\x98\x8B" "FACE SAVOURING DELICIOUS FOOD"
"10" "😌" "\xF0\x9F\x98\x8C" "RELIEVED FACE"
"11" "😍" "\xF0\x9F\x98\x8D" "SMILING FACE WITH HEART-SHAPED EYES"
"12" "😏" "\xF0\x9F\x98\x8F" "SMIRKING FACE"
"13" "😒" "\xF0\x9F\x98\x92" "UNAMUSED FACE"
"14" "😓" "\xF0\x9F\x98\x93" "FACE WITH COLD SWEAT"
"15" "😔" "\xF0\x9F\x98\x94" "PENSIVE FACE"
"16" "😖" "\xF0\x9F\x98\x96" "CONFOUNDED FACE"
"17" "😘" "\xF0\x9F\x98\x98" "FACE THROWING A KISS"
"18" "😚" "\xF0\x9F\x98\x9A" "KISSING FACE WITH CLOSED EYES"
"19" "😜" "\xF0\x9F\x98\x9C" "FACE WITH STUCK-OUT TONGUE AND WINKING EYE"
"20" "😝" "\xF0\x9F\x98\x9D" "FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES"
"21" "😞" "\xF0\x9F\x98\x9E" "DISAPPOINTED FACE"
"22" "😠" "\xF0\x9F\x98\xA0" "ANGRY FACE"
"23" "😡" "\xF0\x9F\x98\xA1" "POUTING FACE"
"24" "😢" "\xF0\x9F\x98\xA2" "CRYING FACE"
"25" "😣" "\xF0\x9F\x98\xA3" "PERSEVERING FACE"
"26" "😤" "\xF0\x9F\x98\xA4" "FACE WITH LOOK OF TRIUMPH"
"27" "😥" "\xF0\x9F\x98\xA5" "DISAPPOINTED BUT RELIEVED FACE"
"28" "😨" "\xF0\x9F\x98\xA8" "FEARFUL FACE"
"29" "😩" "\xF0\x9F\x98\xA9" "WEARY FACE"
"30" "😪" "\xF0\x9F\x98\xAA" "SLEEPY FACE"
"31" "😫" "\xF0\x9F\x98\xAB" "TIRED FACE"
"32" "😭" "\xF0\x9F\x98\xAD" "LOUDLY CRYING FACE"
"33" "😰" "\xF0\x9F\x98\xB0" "FACE WITH OPEN MOUTH AND COLD SWEAT"
"34" "😱" "\xF0\x9F\x98\xB1" "FACE SCREAMING IN FEAR"
"35" "😲" "\xF0\x9F\x98\xB2" "ASTONISHED FACE"
"36" "😳" "\xF0\x9F\x98\xB3" "FLUSHED FACE"
"37" "😵" "\xF0\x9F\x98\xB5" "DIZZY FACE"
"38" "😷" "\xF0\x9F\x98\xB7" "FACE WITH MEDICAL MASK"
"39" "😸" "\xF0\x9F\x98\xB8" "GRINNING CAT FACE WITH SMILING EYES"
"40" "😹" "\xF0\x9F\x98\xB9" "CAT FACE WITH TEARS OF JOY"
"41" "😺" "\xF0\x9F\x98\xBA" "SMILING CAT FACE WITH OPEN MOUTH"
"42" "😻" "\xF0\x9F\x98\xBB" "SMILING CAT FACE WITH HEART-SHAPED EYES"
"43" "😼" "\xF0\x9F\x98\xBC" "CAT FACE WITH WRY SMILE"
"44" "😽" "\xF0\x9F\x98\xBD" "KISSING CAT FACE WITH CLOSED EYES"
"45" "😾" "\xF0\x9F\x98\xBE" "POUTING CAT FACE"
"46" "😿" "\xF0\x9F\x98\xBF" "CRYING CAT FACE"
"47" "🙀" "\xF0\x9F\x99\x80" "WEARY CAT FACE"
"48" "🙅" "\xF0\x9F\x99\x85" "FACE WITH NO GOOD GESTURE"
"49" "🙆" "\xF0\x9F\x99\x86" "FACE WITH OK GESTURE"
"50" "🙇" "\xF0\x9F\x99\x87" "PERSON BOWING DEEPLY"
"51" "🙈" "\xF0\x9F\x99\x88" "SEE-NO-EVIL MONKEY"
"52" "🙉" "\xF0\x9F\x99\x89" "HEAR-NO-EVIL MONKEY"
"53" "🙊" "\xF0\x9F\x99\x8A" "SPEAK-NO-EVIL MONKEY"
"54" "🙋" "\xF0\x9F\x99\x8B" "HAPPY PERSON RAISING ONE HAND"
"55" "🙌" "\xF0\x9F\x99\x8C" "PERSON RAISING BOTH HANDS IN CELEBRATION"
"56" "🙍" "\xF0\x9F\x99\x8D" "PERSON FROWNING"
"57" "🙎" "\xF0\x9F\x99\x8E" "PERSON WITH POUTING FACE"
"58" "🙏" "\xF0\x9F\x99\x8F" "PERSON WITH FOLDED HANDS"
"59" "😀" "\xF0\x9F\x98\x80" "GRINNING FACE"
"60" "😇" "\xF0\x9F\x98\x87" "SMILING FACE WITH HALO"
"61" "😈" "\xF0\x9F\x98\x88" "SMILING FACE WITH HORNS"
"62" "😎" "\xF0\x9F\x98\x8E" "SMILING FACE WITH SUNGLASSES"
"63" "😐" "\xF0\x9F\x98\x90" "NEUTRAL FACE"
"64" "😑" "\xF0\x9F\x98\x91" "EXPRESSIONLESS FACE"
"65" "😕" "\xF0\x9F\x98\x95" "CONFUSED FACE"
"66" "😗" "\xF0\x9F\x98\x97" "KISSING FACE"
"67" "😙" "\xF0\x9F\x98\x99" "KISSING FACE WITH SMILING EYES"
"68" "😛" "\xF0\x9F\x98\x9B" "FACE WITH STUCK-OUT TONGUE"
"69" "😟" "\xF0\x9F\x98\x9F" "WORRIED FACE"
"70" "😦" "\xF0\x9F\x98\xA6" "FROWNING FACE WITH OPEN MOUTH"
"71" "😧" "\xF0\x9F\x98\xA7" "ANGUISHED FACE"
"72" "😬" "\xF0\x9F\x98\xAC" "GRIMACING FACE"
"73" "😮" "\xF0\x9F\x98\xAE" "FACE WITH OPEN MOUTH"
"74" "😯" "\xF0\x9F\x98\xAF" "HUSHED FACE"
"75" "😴" "\xF0\x9F\x98\xB4" "SLEEPING FACE"
"76" "😶" "\xF0\x9F\x98\xB6" "FACE WITHOUT MOUTH"
"77" "✂" "\xE2\x9C\x82" "BLACK SCISSORS"
"78" "✅" "\xE2\x9C\x85" "WHITE HEAVY CHECK MARK"
"79" "✈" "\xE2\x9C\x88" "AIRPLANE"
"80" "✉" "\xE2\x9C\x89" "ENVELOPE"
"81" "✊" "\xE2\x9C\x8A" "RAISED FIST"
"82" "✋" "\xE2\x9C\x8B" "RAISED HAND"
"83" "✌" "\xE2\x9C\x8C" "VICTORY HAND"
"84" "✏" "\xE2\x9C\x8F" "PENCIL"
"85" "✒" "\xE2\x9C\x92" "BLACK NIB"
"86" "✔" "\xE2\x9C\x94" "HEAVY CHECK MARK"
"87" "✖" "\xE2\x9C\x96" "HEAVY MULTIPLICATION X"
"88" "✨" "\xE2\x9C\xA8" "SPARKLES"
"89" "✳" "\xE2\x9C\xB3" "EIGHT SPOKED ASTERISK"
"90" "✴" "\xE2\x9C\xB4" "EIGHT POINTED BLACK STAR"
"91" "❄" "\xE2\x9D\x84" "SNOWFLAKE"
"92" "❇" "\xE2\x9D\x87" "SPARKLE"
"93" "❌" "\xE2\x9D\x8C" "CROSS MARK"
"94" "❎" "\xE2\x9D\x8E" "NEGATIVE SQUARED CROSS MARK"
"95" "❓" "\xE2\x9D\x93" "BLACK QUESTION MARK ORNAMENT"
"96" "❔" "\xE2\x9D\x94" "WHITE QUESTION MARK ORNAMENT"
"97" "❕" "\xE2\x9D\x95" "WHITE EXCLAMATION MARK ORNAMENT"
